station_id,stationname,date,daytype,rides
40220,Western-Forest Park,2017-04-29,A,763
40220,Western-Forest Park,2017-04-30,U,643
40220,Western-Forest Park,2017-05-01,W,1673
40220,Western-Forest Park,2017-05-02,W,1651
40220,Western-Forest Park,2017-05-03,W,1690
40220,Western-Forest Park,2017-05-04,W,1692
40220,Western-Forest Park,2017-05-05,W,1764
40220,Western-Forest Park,2017-05-06,A,1005
40220,Western-Forest Park,2017-05-07,U,765
40220,Western-Forest Park,2017-05-08,W,1667
40220,Western-Forest Park,2017-05-09,W,1632
40220,Western-Forest Park,2017-05-10,W,1628
40220,Western-Forest Park,2017-05-11,W,1721
40220,Western-Forest Park,2017-05-12,W,1777
40220,Western-Forest Park,2017-05-13,A,1043
40220,Western-Forest Park,2017-05-14,U,673
40220,Western-Forest Park,2017-05-15,W,1521
40220,Western-Forest Park,2017-05-16,W,1743
40220,Western-Forest Park,2017-05-17,W,1688
40220,Western-Forest Park,2017-05-18,W,1784
40220,Western-Forest Park,2017-05-19,W,1646
40220,Western-Forest Park,2017-05-20,A,909
40220,Western-Forest Park,2017-05-21,U,722
40220,Western-Forest Park,2017-05-22,W,1676
40220,Western-Forest Park,2017-05-23,W,1680
40220,Western-Forest Park,2017-05-24,W,1773
40220,Western-Forest Park,2017-05-25,W,1797
40220,Western-Forest Park,2017-05-26,W,1642
40220,Western-Forest Park,2017-05-27,A,1146
40220,Western-Forest Park,2017-05-28,U,911
40220,Western-Forest Park,2017-05-29,U,836
40220,Western-Forest Park,2017-05-30,W,1695
40220,Western-Forest Park,2017-05-31,W,1790
40220,Western-Forest Park,2017-06-01,W,1827
40220,Western-Forest Park,2017-06-02,W,1764
40220,Western-Forest Park,2017-06-03,A,1004
40220,Western-Forest Park,2017-06-04,U,787
40220,Western-Forest Park,2017-06-05,W,1659
40220,Western-Forest Park,2017-06-06,W,1716
40220,Western-Forest Park,2017-06-07,W,1774
40220,Western-Forest Park,2017-06-08,W,1713
40220,Western-Forest Park,2017-06-09,W,1731
40220,Western-Forest Park,2017-06-10,A,1048
40220,Western-Forest Park,2017-06-11,U,836
40220,Western-Forest Park,2017-06-12,W,1745
40220,Western-Forest Park,2017-06-13,W,1772
40220,Western-Forest Park,2017-06-14,W,1655
40220,Western-Forest Park,2017-06-15,W,1815
40220,Western-Forest Park,2017-06-16,W,1574
40220,Western-Forest Park,2017-06-17,A,975
40220,Western-Forest Park,2017-06-18,U,794
40220,Western-Forest Park,2017-06-19,W,1635
40220,Western-Forest Park,2017-06-20,W,1620
40220,Western-Forest Park,2017-06-21,W,1482
40220,Western-Forest Park,2017-06-22,W,1416
40220,Western-Forest Park,2017-06-23,W,1456
40220,Western-Forest Park,2017-06-24,A,994
40220,Western-Forest Park,2017-06-25,U,956
40220,Western-Forest Park,2017-06-26,W,1353
40220,Western-Forest Park,2017-06-27,W,1527
40220,Western-Forest Park,2017-06-28,W,1437
40220,Western-Forest Park,2017-06-29,W,1560
40220,Western-Forest Park,2017-06-30,W,1532
40220,Western-Forest Park,2017-07-01,A,1018
40220,Western-Forest Park,2017-07-02,U,769
40220,Western-Forest Park,2017-07-03,W,1180
40220,Western-Forest Park,2017-07-04,U,929
40220,Western-Forest Park,2017-07-05,W,1458
40220,Western-Forest Park,2017-07-06,W,1640
40220,Western-Forest Park,2017-07-07,W,1574
40220,Western-Forest Park,2017-07-08,A,1070
40220,Western-Forest Park,2017-07-09,U,826
40220,Western-Forest Park,2017-07-10,W,1496
40220,Western-Forest Park,2017-07-11,W,1549
40220,Western-Forest Park,2017-07-12,W,1472
40220,Western-Forest Park,2017-07-13,W,1595
40220,Western-Forest Park,2017-07-14,W,1510
40220,Western-Forest Park,2017-07-15,A,1030
40220,Western-Forest Park,2017-07-16,U,747
40220,Western-Forest Park,2017-07-17,W,1521
40220,Western-Forest Park,2017-07-18,W,1474
40220,Western-Forest Park,2017-07-19,W,1556
40220,Western-Forest Park,2017-07-20,W,1506
40220,Western-Forest Park,2017-07-21,W,1446
40220,Western-Forest Park,2017-07-22,A,1003
40220,Western-Forest Park,2017-07-23,U,785
40220,Western-Forest Park,2017-07-24,W,1510
40220,Western-Forest Park,2017-07-25,W,1552
40220,Western-Forest Park,2017-07-26,W,1442
40220,Western-Forest Park,2017-07-27,W,1574
40220,Western-Forest Park,2017-07-28,W,1499
40220,Western-Forest Park,2017-07-29,A,1034
40220,Western-Forest Park,2017-07-30,U,772
40220,Western-Forest Park,2017-07-31,W,1407
